Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_26_138,VGND,li1,69.4600,81.6000,0.000000
FILLER_26_120,VGND,li1,60.9500,81.6000,0.000000
FILLER_26_85,VGND,li1,46.4600,81.6000,0.000000
FILLER_26_65,VGND,li1,35.8800,81.6000,0.000000
FILLER_26_53,VGND,li1,30.5900,81.6000,0.000000
FILLER_26_41,VGND,li1,27.1400,81.6000,0.000000
FILLER_26_29,VGND,li1,21.6200,81.6000,0.000000
FILLER_26_27,VGND,li1,18.1700,81.6000,0.000000
FILLER_26_15,VGND,li1,15.1800,81.6000,0.000000
FILLER_26_3,VGND,li1,9.6600,81.6000,0.000000
FILLER_25_66,VGND,li1,36.5700,81.6000,0.000000
FILLER_25_57,VGND,li1,31.9700,81.6000,0.000000
FILLER_25_27,VGND,li1,19.3200,81.6000,0.000000
FILLER_25_15,VGND,li1,15.1800,81.6000,0.000000
FILLER_25_3,VGND,li1,9.6600,81.6000,0.000000
FILLER_24_141,VGND,li1,70.6100,76.1600,0.000000
FILLER_24_118,VGND,li1,60.0300,76.1600,0.000000
FILLER_24_80,VGND,li1,43.2400,76.1600,0.000000
FILLER_24_59,VGND,li1,33.3500,76.1600,0.000000
FILLER_24_50,VGND,li1,28.9800,76.1600,0.000000
FILLER_24_41,VGND,li1,25.0700,76.1600,0.000000
FILLER_24_29,VGND,li1,21.6200,76.1600,0.000000
FILLER_24_27,VGND,li1,18.1700,76.1600,0.000000
FILLER_24_15,VGND,li1,15.1800,76.1600,0.000000
FILLER_24_3,VGND,li1,9.6600,76.1600,0.000000
FILLER_23_128,VGND,li1,64.6300,76.1600,0.000000
FILLER_23_108,VGND,li1,55.4300,76.1600,0.000000
FILLER_23_96,VGND,li1,52.4400,76.1600,0.000000
FILLER_23_90,VGND,li1,47.3800,76.1600,0.000000
FILLER_23_79,VGND,li1,42.3200,76.1600,0.000000
FILLER_23_25,VGND,li1,18.4000,76.1600,0.000000
FILLER_23_13,VGND,li1,14.2600,76.1600,0.000000
FILLER_22_131,VGND,li1,66.0100,70.7200,0.000000
FILLER_22_119,VGND,li1,60.9500,70.7200,0.000000
FILLER_22_113,VGND,li1,57.9600,70.7200,0.000000
FILLER_22_105,VGND,li1,55.6600,70.7200,0.000000
FILLER_22_77,VGND,li1,41.6300,70.7200,0.000000
FILLER_22_69,VGND,li1,37.4900,70.7200,0.000000
FILLER_22_65,VGND,li1,36.3400,70.7200,0.000000
FILLER_22_60,VGND,li1,33.5800,70.7200,0.000000
FILLER_22_53,VGND,li1,30.3600,70.7200,0.000000
FILLER_22_41,VGND,li1,25.0700,70.7200,0.000000
FILLER_22_29,VGND,li1,21.6200,70.7200,0.000000
FILLER_22_27,VGND,li1,18.1700,70.7200,0.000000
FILLER_22_15,VGND,li1,15.1800,70.7200,0.000000
FILLER_22_3,VGND,li1,9.6600,70.7200,0.000000
FILLER_21_111,VGND,li1,56.8100,70.7200,0.000000
