Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_13_309,VPWR,li1,147.8900,46.2400,1.800000
FILLER_13_301,VPWR,li1,144.2100,46.2400,1.800000
FILLER_13_222,VPWR,li1,108.1000,46.2400,1.800000
FILLER_13_155,VPWR,li1,77.0500,46.2400,1.800000
FILLER_13_29,VPWR,li1,19.0900,46.2400,1.800000
FILLER_12_285,VPWR,li1,136.8500,46.2400,1.800000
FILLER_12_184,VPWR,li1,90.3900,46.2400,1.800000
FILLER_12_141,VPWR,li1,70.8400,46.2400,1.800000
FILLER_12_115,VPWR,li1,58.6500,46.2400,1.800000
FILLER_12_65,VPWR,li1,35.8800,46.2400,1.800000
FILLER_12_44,VPWR,li1,26.2200,46.2400,1.800000
FILLER_12_14,VPWR,li1,12.4200,46.2400,1.800000
FILLER_11_304,VPWR,li1,145.5900,40.8000,1.800000
FILLER_11_299,VPWR,li1,143.2900,40.8000,1.800000
FILLER_11_278,VPWR,li1,133.8600,40.8000,1.800000
FILLER_11_263,VPWR,li1,126.7300,40.8000,1.800000
FILLER_11_242,VPWR,li1,117.0700,40.8000,1.800000
FILLER_11_222,VPWR,li1,108.1000,40.8000,1.800000
FILLER_11_208,VPWR,li1,101.6600,40.8000,1.800000
FILLER_11_191,VPWR,li1,93.6100,40.8000,1.800000
FILLER_11_185,VPWR,li1,92.0000,40.8000,1.800000
FILLER_11_166,VPWR,li1,82.3400,40.8000,1.800000
FILLER_11_151,VPWR,li1,75.2100,40.8000,1.800000
FILLER_11_132,VPWR,li1,66.7000,40.8000,1.800000
FILLER_11_113,VPWR,li1,57.9600,40.8000,1.800000
FILLER_11_94,VPWR,li1,48.9900,40.8000,1.800000
FILLER_11_76,VPWR,li1,40.9400,40.8000,1.800000
FILLER_11_70,VPWR,li1,38.1800,40.8000,1.800000
FILLER_11_61,VPWR,li1,33.8100,40.8000,1.800000
FILLER_11_50,VPWR,li1,28.9800,40.8000,1.800000
FILLER_11_32,VPWR,li1,20.4700,40.8000,1.800000
FILLER_10_309,VPWR,li1,147.8900,40.8000,1.800000
FILLER_10_243,VPWR,li1,117.7600,40.8000,1.800000
FILLER_10_222,VPWR,li1,108.1000,40.8000,1.800000
FILLER_10_200,VPWR,li1,98.9000,40.8000,1.800000
FILLER_10_183,VPWR,li1,89.9300,40.8000,1.800000
FILLER_10_179,VPWR,li1,88.7800,40.8000,1.800000
FILLER_10_170,VPWR,li1,83.9500,40.8000,1.800000
FILLER_10_164,VPWR,li1,82.3400,40.8000,1.800000
FILLER_10_150,VPWR,li1,74.7500,40.8000,1.800000
FILLER_10_146,VPWR,li1,73.6000,40.8000,1.800000
FILLER_10_92,VPWR,li1,48.3000,40.8000,1.800000
FILLER_10_82,VPWR,li1,43.7000,40.8000,1.800000
FILLER_10_50,VPWR,li1,30.3600,40.8000,1.800000
FILLER_10_41,VPWR,li1,25.0700,40.8000,1.800000
FILLER_10_37,VPWR,li1,22.7700,40.8000,1.800000
FILLER_10_19,VPWR,li1,14.4900,40.8000,1.800000
FILLER_10_15,VPWR,li1,13.3400,40.8000,1.800000
FILLER_10_3,VPWR,li1,7.1300,40.8000,1.800000
FILLER_9_274,VPWR,li1,132.0200,35.3600,1.800000
FILLER_9_258,VPWR,li1,124.6600,35.3600,1.800000
FILLER_9_225,VPWR,li1,109.4800,35.3600,1.800000
FILLER_9_221,VPWR,li1,107.8700,35.3600,1.800000
FILLER_9_206,VPWR,li1,102.1200,35.3600,1.800000
FILLER_9_184,VPWR,li1,90.3900,35.3600,1.800000
FILLER_9_175,VPWR,li1,86.4800,35.3600,1.800000
FILLER_9_169,VPWR,li1,83.4900,35.3600,1.800000
FILLER_9_163,VPWR,li1,80.9600,35.3600,1.800000
FILLER_9_142,VPWR,li1,72.6800,35.3600,1.800000
FILLER_9_130,VPWR,li1,68.0800,35.3600,1.800000
FILLER_9_118,VPWR,li1,62.5600,35.3600,1.800000
FILLER_9_113,VPWR,li1,57.9600,35.3600,1.800000
FILLER_9_111,VPWR,li1,56.8100,35.3600,1.800000
FILLER_9_105,VPWR,li1,55.2000,35.3600,1.800000
FILLER_9_95,VPWR,li1,49.4500,35.3600,1.800000
FILLER_9_87,VPWR,li1,47.3800,35.3600,1.800000
FILLER_9_82,VPWR,li1,43.7000,35.3600,1.800000
FILLER_9_68,VPWR,li1,38.6400,35.3600,1.800000
FILLER_9_57,VPWR,li1,31.9700,35.3600,1.800000
FILLER_9_53,VPWR,li1,30.5900,35.3600,1.800000
FILLER_9_32,VPWR,li1,20.4700,35.3600,1.800000
FILLER_9_7,VPWR,li1,10.5800,35.3600,1.800000
FILLER_8_309,VPWR,li1,147.8900,35.3600,1.800000
FILLER_8_301,VPWR,li1,144.4400,35.3600,1.800000
FILLER_8_248,VPWR,li1,120.5200,35.3600,1.800000
FILLER_8_234,VPWR,li1,113.6200,35.3600,1.800000
FILLER_8_205,VPWR,li1,100.2800,35.3600,1.800000
FILLER_8_197,VPWR,li1,97.9800,35.3600,1.800000
FILLER_8_194,VPWR,li1,95.2200,35.3600,1.800000
FILLER_8_189,VPWR,li1,92.6900,35.3600,1.800000
FILLER_8_174,VPWR,li1,86.2500,35.3600,1.800000
FILLER_8_150,VPWR,li1,74.9800,35.3600,1.800000
FILLER_8_139,VPWR,li1,69.6900,35.3600,1.800000
FILLER_8_133,VPWR,li1,68.0800,35.3600,1.800000
FILLER_8_93,VPWR,li1,48.9900,35.3600,1.800000
FILLER_8_85,VPWR,li1,46.4600,35.3600,1.800000
FILLER_8_72,VPWR,li1,41.4000,35.3600,1.800000
FILLER_8_60,VPWR,li1,35.8800,35.3600,1.800000
FILLER_8_48,VPWR,li1,30.3600,35.3600,1.800000
FILLER_8_41,VPWR,li1,24.8400,35.3600,1.800000
FILLER_8_29,VPWR,li1,21.6200,35.3600,1.800000
FILLER_8_27,VPWR,li1,18.1700,35.3600,1.800000
FILLER_8_15,VPWR,li1,15.1800,35.3600,1.800000
FILLER_8_3,VPWR,li1,9.6600,35.3600,1.800000
FILLER_7_301,VPWR,li1,144.2100,29.9200,1.800000
FILLER_7_281,VPWR,li1,135.0100,29.9200,1.800000
FILLER_7_263,VPWR,li1,126.7300,29.9200,1.800000
FILLER_7_248,VPWR,li1,120.0600,29.9200,1.800000
FILLER_7_240,VPWR,li1,117.7600,29.9200,1.800000
FILLER_7_230,VPWR,li1,112.0100,29.9200,1.800000
FILLER_7_222,VPWR,li1,108.1000,29.9200,1.800000
FILLER_7_215,VPWR,li1,105.3400,29.9200,1.800000
FILLER_7_200,VPWR,li1,97.7500,29.9200,1.800000
FILLER_7_192,VPWR,li1,95.6800,29.9200,1.800000
FILLER_7_166,VPWR,li1,82.3400,29.9200,1.800000
FILLER_7_158,VPWR,li1,80.0400,29.9200,1.800000
FILLER_7_150,VPWR,li1,74.9800,29.9200,1.800000
FILLER_7_120,VPWR,li1,61.6400,29.9200,1.800000
FILLER_7_87,VPWR,li1,45.7700,29.9200,1.800000
FILLER_7_81,VPWR,li1,44.1600,29.9200,1.800000
FILLER_7_69,VPWR,li1,40.0200,29.9200,1.800000
FILLER_7_57,VPWR,li1,34.5000,29.9200,1.800000
FILLER_7_55,VPWR,li1,31.0500,29.9200,1.800000
FILLER_7_51,VPWR,li1,29.9000,29.9200,1.800000
FILLER_7_39,VPWR,li1,26.2200,29.9200,1.800000
FILLER_7_27,VPWR,li1,20.7000,29.9200,1.800000
FILLER_7_15,VPWR,li1,15.1800,29.9200,1.800000
FILLER_7_3,VPWR,li1,9.6600,29.9200,1.800000
FILLER_6_282,VPWR,li1,135.4700,29.9200,1.800000
FILLER_6_265,VPWR,li1,127.6500,29.9200,1.800000
FILLER_6_259,VPWR,li1,126.0400,29.9200,1.800000
FILLER_6_246,VPWR,li1,120.0600,29.9200,1.800000
FILLER_6_230,VPWR,li1,112.0100,29.9200,1.800000
FILLER_6_211,VPWR,li1,102.8100,29.9200,1.800000
FILLER_6_207,VPWR,li1,101.6600,29.9200,1.800000
FILLER_6_203,VPWR,li1,99.1300,29.9200,1.800000
FILLER_6_197,VPWR,li1,97.5200,29.9200,1.800000
FILLER_6_195,VPWR,li1,95.4500,29.9200,1.800000
FILLER_6_183,VPWR,li1,92.4600,29.9200,1.800000
FILLER_6_159,VPWR,li1,79.5800,29.9200,1.800000
FILLER_6_141,VPWR,li1,71.3000,29.9200,1.800000
FILLER_6_138,VPWR,li1,69.4600,29.9200,1.800000
FILLER_6_130,VPWR,li1,65.5500,29.9200,1.800000
FILLER_6_126,VPWR,li1,64.4000,29.9200,1.800000
FILLER_6_105,VPWR,li1,54.7400,29.9200,1.800000
FILLER_6_85,VPWR,li1,45.5400,29.9200,1.800000
FILLER_6_83,VPWR,li1,43.9300,29.9200,1.800000
FILLER_6_77,VPWR,li1,42.3200,29.9200,1.800000
FILLER_6_65,VPWR,li1,38.1800,29.9200,1.800000
FILLER_6_53,VPWR,li1,32.6600,29.9200,1.800000
FILLER_6_41,VPWR,li1,27.1400,29.9200,1.800000
FILLER_6_29,VPWR,li1,21.6200,29.9200,1.800000
FILLER_6_27,VPWR,li1,18.1700,29.9200,1.800000
FILLER_6_15,VPWR,li1,15.1800,29.9200,1.800000
FILLER_6_3,VPWR,li1,9.6600,29.9200,1.800000
FILLER_5_319,VPWR,li1,152.4900,24.4800,1.800000
FILLER_5_281,VPWR,li1,135.0100,24.4800,1.800000
FILLER_5_272,VPWR,li1,132.4800,24.4800,1.800000
FILLER_5_261,VPWR,li1,126.5000,24.4800,1.800000
FILLER_5_249,VPWR,li1,122.8200,24.4800,1.800000
FILLER_5_237,VPWR,li1,117.3000,24.4800,1.800000
FILLER_5_225,VPWR,li1,111.7800,24.4800,1.800000
FILLER_5_221,VPWR,li1,107.8700,24.4800,1.800000
FILLER_5_205,VPWR,li1,102.5800,24.4800,1.800000
FILLER_5_193,VPWR,li1,97.0600,24.4800,1.800000
FILLER_5_181,VPWR,li1,91.5400,24.4800,1.800000
FILLER_5_169,VPWR,li1,86.0200,24.4800,1.800000
FILLER_5_167,VPWR,li1,82.5700,24.4800,1.800000
FILLER_5_163,VPWR,li1,81.4200,24.4800,1.800000
FILLER_5_150,VPWR,li1,74.7500,24.4800,1.800000
FILLER_5_146,VPWR,li1,73.6000,24.4800,1.800000
FILLER_5_128,VPWR,li1,64.8600,24.4800,1.800000
FILLER_5_120,VPWR,li1,62.5600,24.4800,1.800000
FILLER_5_110,VPWR,li1,56.5800,24.4800,1.800000
FILLER_5_102,VPWR,li1,54.2800,24.4800,1.800000
FILLER_5_93,VPWR,li1,48.7600,24.4800,1.800000
FILLER_5_81,VPWR,li1,45.5400,24.4800,1.800000
FILLER_5_69,VPWR,li1,40.0200,24.4800,1.800000
FILLER_5_57,VPWR,li1,34.5000,24.4800,1.800000
FILLER_5_55,VPWR,li1,31.0500,24.4800,1.800000
FILLER_5_51,VPWR,li1,29.9000,24.4800,1.800000
FILLER_5_39,VPWR,li1,26.2200,24.4800,1.800000
FILLER_5_27,VPWR,li1,20.7000,24.4800,1.800000
FILLER_5_15,VPWR,li1,15.1800,24.4800,1.800000
FILLER_5_3,VPWR,li1,9.6600,24.4800,1.800000
FILLER_4_309,VPWR,li1,147.8900,24.4800,1.800000
FILLER_4_298,VPWR,li1,143.0600,24.4800,1.800000
FILLER_4_293,VPWR,li1,140.7600,24.4800,1.800000
FILLER_4_285,VPWR,li1,137.0800,24.4800,1.800000
FILLER_4_277,VPWR,li1,134.7800,24.4800,1.800000
FILLER_4_265,VPWR,li1,130.1800,24.4800,1.800000
FILLER_4_253,VPWR,li1,124.6600,24.4800,1.800000
FILLER_4_251,VPWR,li1,121.2100,24.4800,1.800000
FILLER_4_245,VPWR,li1,119.6000,24.4800,1.800000
FILLER_4_233,VPWR,li1,115.4600,24.4800,1.800000
FILLER_4_221,VPWR,li1,109.9400,24.4800,1.800000
FILLER_4_209,VPWR,li1,104.4200,24.4800,1.800000
FILLER_4_197,VPWR,li1,98.9000,24.4800,1.800000
FILLER_4_194,VPWR,li1,95.2200,24.4800,1.800000
FILLER_4_182,VPWR,li1,92.0000,24.4800,1.800000
FILLER_4_170,VPWR,li1,86.4800,24.4800,1.800000
FILLER_4_158,VPWR,li1,80.9600,24.4800,1.800000
FILLER_4_141,VPWR,li1,73.1400,24.4800,1.800000
FILLER_4_139,VPWR,li1,69.6900,24.4800,1.800000
FILLER_4_133,VPWR,li1,67.3900,24.4800,1.800000
FILLER_4_121,VPWR,li1,63.9400,24.4800,1.800000
FILLER_4_109,VPWR,li1,58.4200,24.4800,1.800000
FILLER_4_97,VPWR,li1,52.9000,24.4800,1.800000
FILLER_4_85,VPWR,li1,47.3800,24.4800,1.800000
FILLER_4_83,VPWR,li1,43.9300,24.4800,1.800000
FILLER_4_77,VPWR,li1,42.3200,24.4800,1.800000
FILLER_4_65,VPWR,li1,38.1800,24.4800,1.800000
FILLER_4_53,VPWR,li1,32.6600,24.4800,1.800000
FILLER_4_41,VPWR,li1,27.1400,24.4800,1.800000
FILLER_4_29,VPWR,li1,21.6200,24.4800,1.800000
FILLER_4_27,VPWR,li1,18.1700,24.4800,1.800000
FILLER_4_15,VPWR,li1,15.1800,24.4800,1.800000
FILLER_4_3,VPWR,li1,9.6600,24.4800,1.800000
FILLER_3_281,VPWR,li1,137.5400,19.0400,1.800000
FILLER_3_279,VPWR,li1,134.0900,19.0400,1.800000
FILLER_3_273,VPWR,li1,132.4800,19.0400,1.800000
FILLER_3_261,VPWR,li1,128.3400,19.0400,1.800000
FILLER_3_249,VPWR,li1,122.8200,19.0400,1.800000
FILLER_3_237,VPWR,li1,117.3000,19.0400,1.800000
FILLER_3_225,VPWR,li1,111.7800,19.0400,1.800000
FILLER_3_223,VPWR,li1,108.3300,19.0400,1.800000
FILLER_3_217,VPWR,li1,106.7200,19.0400,1.800000
FILLER_3_205,VPWR,li1,102.5800,19.0400,1.800000
FILLER_3_193,VPWR,li1,97.0600,19.0400,1.800000
FILLER_3_181,VPWR,li1,91.5400,19.0400,1.800000
FILLER_3_169,VPWR,li1,86.0200,19.0400,1.800000
FILLER_3_167,VPWR,li1,82.5700,19.0400,1.800000
FILLER_3_161,VPWR,li1,80.9600,19.0400,1.800000
FILLER_3_149,VPWR,li1,76.8200,19.0400,1.800000
FILLER_3_137,VPWR,li1,71.3000,19.0400,1.800000
FILLER_3_125,VPWR,li1,65.7800,19.0400,1.800000
FILLER_3_113,VPWR,li1,60.2600,19.0400,1.800000
FILLER_3_111,VPWR,li1,56.8100,19.0400,1.800000
FILLER_3_105,VPWR,li1,55.2000,19.0400,1.800000
FILLER_3_93,VPWR,li1,51.0600,19.0400,1.800000
FILLER_3_81,VPWR,li1,45.5400,19.0400,1.800000
FILLER_3_69,VPWR,li1,40.0200,19.0400,1.800000
FILLER_3_57,VPWR,li1,34.5000,19.0400,1.800000
FILLER_3_55,VPWR,li1,31.0500,19.0400,1.800000
FILLER_3_51,VPWR,li1,29.9000,19.0400,1.800000
FILLER_3_39,VPWR,li1,26.2200,19.0400,1.800000
FILLER_3_27,VPWR,li1,20.7000,19.0400,1.800000
FILLER_3_15,VPWR,li1,15.1800,19.0400,1.800000
FILLER_3_3,VPWR,li1,9.6600,19.0400,1.800000
